"tokenAddress","positionId","deployer","fid","name","symbol","supply","lockerAddress","castHash"
"0x141949829D1d58613618601b44b559d488D1aebd",1519317,"0x21926b10fB35c48713D6051f4D11705346715198",903907,"ClankerNews","CBS",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0x995e8ea23d1d01f9784a3b99729513d6b32e1f6c"
"0x38D969Ab20F7012564Ac69CaD7406D596392080B",1519354,"0xAE5A04C25531949Edc6fC3e650efEc82c1ba773a",387008,"Not Today","NOTTODAY",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0x3f9270723f7fb799069c2d96080c21ed17c06f21"
"0x25C324B48957BFF893c32084B5f7B7B5A3387bE6",1519368,"0x2949CBfE8cb4D9A47F50d54cC23b2D94bE8833DB",282998,"AKAMARU","AKAMARU",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0xe5283a10b44444877047aa6e3decfe865c09d90d"
"0x13Ee357fe43Aa3d9c109D5F3dd8C66E0c34f173F",1519386,"0x01E1228e5A906243005D2d3Abd9ec58d9136381b",904039,"Bonk On Base","BasedBonk",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0x0a3f46d93f797844d74dbc4e49949ff7ae4c2ed5"
"0x39D67A2548Cdda411E3376A23f8CFf5793007BFc",1519429,"0x217107C6157b487fc55d99535141d9514c308F3b",268485,"CLANKHUB","CLANKHUB",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0x24d78c8af411264a2cc685ca635de1719a9ea58a"
"0x0f53fE2A41f0b144b38A6A8F23EA5613F1113826",1519448,"0xfCC7921326C94BC69c558CC066d44b3763Ce7F75",392746,"FIFI GINU","GINU",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0x9b7b2ca4cc62bd72d063112970011c91400d9546"
"0x0f4E031f7afc33dd0a9E1beB0b1B5Dc69A728Ea9",1519452,"0x043C26e1e315c262553f535b4318B426410e5222",904048,"Orca On Base","ORCA",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0xe0a20d0f3631640acd6da2a0edd471bd5c3df581"
"0x0c7B7F870D7A4Ea4Ba16e47531F2E3C581AD85A3",1519485,"0xEe72c0525683093299A07c0444e00B17687d53A3",415225,"AVA","AVA",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0x5206aad8a3db9fb1dfa15db21c37559c32f606a0"
"0x3A04c08b5B92eeeB79Fea825BEe0338b20304C17",1519532,"0x5EaE79b03a06750E50F262328548B155E804806f",897774,"AxolAI","AXAI",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0x37348fd74cbcccf2aaa61675d5ebecf0c719c7b8"
"0x00b8ff823F9b4095B64ECEA4CA2ACCA0FE9A681e",1519534,"0x2A22C10e9CA60427A0091c0807A200a8d5c80B0A",843635,"SUPERPINK","SPINK",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0x9839f9d4a719dab9465e0cf3db42db117fb45144"
"0x3727F7315Aa9f745A954c85DE04f957B965ABdbc",1519536,"0xB4111107E7959fd8655eA13A1508c9c93BC8258A",903354,"Based Bird Dog","BIRDDOG",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0xf8a55da63170bb33e61748398b01a3448a83c7e5"
"0x3c103d43cA000b575095fe48F91d16dBD633D48A",1519538,"0xad545f97E34E094b54cb78B94Cb662e6139f88f7",884226,"AI CLANKER","ACLNK",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0x9613f27ca865cbf08158aeb32392087359b79064"
"0x3f21F3fda65B906E8f94C74B7CE182D72594bCF9",1519544,"0xfCC7921326C94BC69c558CC066d44b3763Ce7F75",392746,"FIFI GINU","GIN",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0xb00846a5d13ed4390e1119a9132713ce84fcaad9"
"0x0917A55E775af211A7902681801814A4Ef340554",1519545,"0x92Ad5e8fDB27265f12D8B9c6db6A21FF30f8945c",696601,"Web Farcaster","WEB",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0x56afe2ab146471b988be6fbf2b4573d53b3c8fe5"
"0x246AEF51f7fa0c8cE55b42e8a6CD1d1268Be688b",1519547,"0x2A23C62EF82930C4b4Fa1a6bb1aC497776E66285",409379,"Kiosk","KIOSK",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0x76f913eb4c82717b61d47968a85fc0979ebfa6ef"
